timestamp,spider,keyword,mode,status,jobs_found,note
2026-03-15T02:21:01.963004+00:00,linkedin,Front-End Engineer,no-llm,DONE,5,
2026-03-15T02:21:24.527630+00:00,linkedin,Back-End Engineer,no-llm,DONE,5,
2026-03-15T02:21:45.205549+00:00,linkedin,Full-Stack Engineer,no-llm,DONE,5,
2026-03-15T02:22:05.820667+00:00,linkedin,Mobile Engineer,no-llm,DONE,5,
2026-03-15T02:22:27.654658+00:00,linkedin,Systems Engineer,no-llm,DONE,5,
2026-03-15T02:22:49.150407+00:00,linkedin,Game Developer,no-llm,DONE,5,
2026-03-15T02:23:09.744789+00:00,linkedin,Security Analyst,no-llm,DONE,5,
2026-03-15T02:23:18.230630+00:00,linkedin,Penetration Tester,no-llm,DONE,5,
2026-03-15T02:23:39.166560+00:00,linkedin,Security Engineer,no-llm,DONE,5,
2026-03-15T02:24:00.212445+00:00,linkedin,Cloud Security Engineer,no-llm,DONE,5,
2026-03-15T02:24:20.976668+00:00,linkedin,SOC Analyst,no-llm,DONE,5,
2026-03-15T02:24:43.020693+00:00,linkedin,Application Security,no-llm,DONE,5,
2026-03-15T02:25:03.684536+00:00,linkedin,GRC Analyst,no-llm,DONE,5,
2026-03-15T02:25:25.219520+00:00,linkedin,Machine Learning Engineer,no-llm,DONE,5,
2026-03-15T02:25:33.658834+00:00,linkedin,Data Scientist,no-llm,DONE,1,
2026-03-15T02:25:56.039516+00:00,linkedin,AI Engineer,no-llm,DONE,5,
2026-03-15T02:26:17.784622+00:00,linkedin,NLP Engineer,no-llm,DONE,5,
2026-03-15T02:26:38.783214+00:00,linkedin,Computer Vision Engineer,no-llm,DONE,5,
2026-03-15T02:26:47.224526+00:00,linkedin,Research Scientist,no-llm,DONE,3,
2026-03-15T02:27:07.763671+00:00,linkedin,BI Developer,no-llm,DONE,5,
2026-03-15T02:27:29.433278+00:00,linkedin,Data Visualization Engineer,no-llm,DONE,5,
2026-03-15T02:27:37.958914+00:00,linkedin,Analytics Engineer,no-llm,DONE,1,
2026-03-15T02:27:59.400877+00:00,linkedin,Reporting Analyst,no-llm,DONE,5,
2026-03-15T02:28:20.105990+00:00,linkedin,Cloud Infrastructure Engineer,no-llm,DONE,5,
2026-03-15T02:28:41.431519+00:00,linkedin,Cloud Architect,no-llm,DONE,5,
2026-03-15T02:28:49.916526+00:00,linkedin,Site Reliability Engineer,no-llm,DONE,3,
2026-03-15T02:29:10.536771+00:00,linkedin,Platform Engineer,no-llm,DONE,5,
2026-03-15T02:29:31.768807+00:00,linkedin,Agile Project Manager,no-llm,DONE,5,
2026-03-15T02:29:52.905628+00:00,linkedin,Program Manager,no-llm,DONE,5,
2026-03-15T02:30:14.133697+00:00,linkedin,Technical Product Manager,no-llm,DONE,5,
2026-03-15T02:30:35.451068+00:00,linkedin,Scrum Master,no-llm,DONE,5,
2026-03-15T02:30:55.987029+00:00,linkedin,CI/CD Engineer,no-llm,DONE,5,
2026-03-15T02:31:16.806590+00:00,linkedin,Infrastructure as Code Engineer,no-llm,DONE,5,
2026-03-15T02:31:37.257927+00:00,linkedin,Release Engineer,no-llm,DONE,5,
2026-03-15T02:32:09.149593+00:00,linkedin,Automation Engineer,no-llm,DONE,5,
2026-03-15T02:32:29.386469+00:00,linkedin,Containerization Engineer,no-llm,DONE,5,
2026-03-15T03:22:03.582950+00:00,linkedin,Front-End Engineer,no-llm,DONE,10,
2026-03-15T03:22:53.255060+00:00,linkedin,Back-End Engineer,no-llm,DONE,10,
2026-03-15T03:23:40.384690+00:00,linkedin,Full-Stack Engineer,no-llm,DONE,10,
2026-03-15T03:24:21.275645+00:00,linkedin,Mobile Engineer,no-llm,DONE,10,
2026-03-15T03:25:02.783423+00:00,linkedin,Systems Engineer,no-llm,DONE,10,
2026-03-15T03:25:47.023044+00:00,linkedin,Game Developer,no-llm,DONE,10,
2026-03-15T03:26:28.410948+00:00,linkedin,Security Analyst,no-llm,DONE,10,
2026-03-15T03:27:16.058013+00:00,linkedin,Penetration Tester,no-llm,DONE,10,
2026-03-15T03:28:09.042723+00:00,linkedin,Security Engineer,no-llm,DONE,10,
2026-03-15T03:29:00.927858+00:00,linkedin,Cloud Security Engineer,no-llm,DONE,10,
2026-03-15T03:29:47.889504+00:00,linkedin,SOC Analyst,no-llm,DONE,10,
2026-03-15T03:30:34.571178+00:00,linkedin,Application Security,no-llm,DONE,10,
2026-03-15T03:31:25.157069+00:00,linkedin,GRC Analyst,no-llm,DONE,10,
2026-03-15T03:32:16.577744+00:00,linkedin,Machine Learning Engineer,no-llm,DONE,10,
2026-03-15T03:33:09.773636+00:00,linkedin,Data Scientist,no-llm,DONE,10,
2026-03-15T03:33:59.892968+00:00,linkedin,AI Engineer,no-llm,DONE,10,
2026-03-15T03:34:51.498105+00:00,linkedin,NLP Engineer,no-llm,DONE,10,
2026-03-15T03:35:43.768336+00:00,linkedin,Computer Vision Engineer,no-llm,DONE,10,
2026-03-15T03:36:26.736543+00:00,linkedin,Research Scientist,no-llm,DONE,10,
2026-03-15T03:37:03.110945+00:00,linkedin,BI Developer,no-llm,DONE,6,
2026-03-15T03:37:56.236205+00:00,linkedin,Data Visualization Engineer,no-llm,DONE,10,
2026-03-15T03:38:48.973068+00:00,linkedin,Analytics Engineer,no-llm,DONE,10,
2026-03-15T03:39:37.959069+00:00,linkedin,Reporting Analyst,no-llm,DONE,10,
2026-03-15T03:40:27.370984+00:00,linkedin,Cloud Infrastructure Engineer,no-llm,DONE,10,
2026-03-15T03:41:16.241086+00:00,linkedin,Cloud Architect,no-llm,DONE,10,
2026-03-15T03:42:06.047940+00:00,linkedin,Site Reliability Engineer,no-llm,DONE,10,
2026-03-15T03:42:59.522972+00:00,linkedin,Platform Engineer,no-llm,DONE,10,
2026-03-15T03:43:48.678273+00:00,linkedin,Agile Project Manager,no-llm,DONE,10,
2026-03-15T03:44:42.861125+00:00,linkedin,Program Manager,no-llm,DONE,10,
2026-03-15T03:45:32.764457+00:00,linkedin,Technical Product Manager,no-llm,DONE,10,
2026-03-15T03:46:22.070808+00:00,linkedin,Scrum Master,no-llm,DONE,10,
2026-03-15T03:47:14.894896+00:00,linkedin,CI/CD Engineer,no-llm,DONE,10,
2026-03-15T03:48:05.097549+00:00,linkedin,Infrastructure as Code Engineer,no-llm,DONE,10,
2026-03-15T03:48:59.106215+00:00,linkedin,Release Engineer,no-llm,DONE,10,
2026-03-15T03:49:52.115015+00:00,linkedin,Automation Engineer,no-llm,DONE,10,
2026-03-15T03:50:45.191970+00:00,linkedin,Containerization Engineer,no-llm,DONE,10,
2026-03-15T03:52:32.773013+00:00,jobright,Front-End Engineer,no-llm,DONE,10,
2026-03-15T03:54:37.224034+00:00,jobright,Back-End Engineer,no-llm,DONE,10,
2026-03-15T03:56:31.672203+00:00,jobright,Full-Stack Engineer,no-llm,DONE,10,
2026-03-15T03:58:24.332646+00:00,jobright,Mobile Engineer,no-llm,DONE,10,
2026-03-15T04:00:06.240362+00:00,jobright,Systems Engineer,no-llm,DONE,10,
2026-03-15T04:02:00.921270+00:00,jobright,Game Developer,no-llm,DONE,10,
2026-03-15T04:04:05.545384+00:00,jobright,Security Analyst,no-llm,DONE,10,
2026-03-15T04:05:49.231288+00:00,jobright,Penetration Tester,no-llm,DONE,10,
2026-03-15T04:07:53.711019+00:00,jobright,Security Engineer,no-llm,DONE,10,
2026-03-15T04:09:54.768295+00:00,jobright,Cloud Security Engineer,no-llm,DONE,10,
2026-03-15T04:12:02.249153+00:00,jobright,SOC Analyst,no-llm,DONE,10,
2026-03-15T04:13:55.822969+00:00,jobright,Application Security,no-llm,DONE,10,
2026-03-15T04:16:01.754081+00:00,jobright,GRC Analyst,no-llm,DONE,10,
2026-03-15T04:17:47.189299+00:00,jobright,Machine Learning Engineer,no-llm,DONE,10,
2026-03-15T04:20:01.425538+00:00,jobright,Data Scientist,no-llm,DONE,10,
2026-03-15T04:22:14.701814+00:00,jobright,AI Engineer,no-llm,DONE,10,
2026-03-15T04:24:20.998294+00:00,jobright,NLP Engineer,no-llm,DONE,10,
2026-03-15T04:26:34.785355+00:00,jobright,Computer Vision Engineer,no-llm,DONE,10,
2026-03-15T04:28:25.331020+00:00,jobright,Research Scientist,no-llm,DONE,10,
2026-03-15T04:30:42.135363+00:00,jobright,BI Developer,no-llm,DONE,10,
2026-03-15T04:32:32.791417+00:00,jobright,Data Visualization Engineer,no-llm,DONE,10,
2026-03-15T04:34:30.431117+00:00,jobright,Analytics Engineer,no-llm,DONE,10,
2026-03-15T04:36:18.844136+00:00,jobright,Reporting Analyst,no-llm,DONE,10,
2026-03-15T04:38:02.645014+00:00,jobright,Cloud Infrastructure Engineer,no-llm,DONE,10,
2026-03-15T04:39:44.051193+00:00,jobright,Cloud Architect,no-llm,DONE,10,
2026-03-15T04:41:26.463023+00:00,jobright,Site Reliability Engineer,no-llm,DONE,10,
2026-03-15T04:43:17.391451+00:00,jobright,Platform Engineer,no-llm,DONE,10,
2026-03-15T04:44:59.111144+00:00,jobright,Agile Project Manager,no-llm,DONE,10,
2026-03-15T04:46:32.961527+00:00,jobright,Program Manager,no-llm,DONE,10,
2026-03-15T04:48:13.897425+00:00,jobright,Technical Product Manager,no-llm,DONE,10,
2026-03-15T04:49:58.176170+00:00,jobright,Scrum Master,no-llm,DONE,10,
2026-03-15T04:51:42.905743+00:00,jobright,CI/CD Engineer,no-llm,DONE,10,
2026-03-15T04:53:12.147804+00:00,jobright,Infrastructure as Code Engineer,no-llm,DONE,10,
2026-03-15T04:54:44.835401+00:00,jobright,Release Engineer,no-llm,DONE,10,
2026-03-15T04:56:33.724793+00:00,jobright,Automation Engineer,no-llm,DONE,10,
2026-03-15T04:58:12.021365+00:00,jobright,Containerization Engineer,no-llm,DONE,10,
2026-03-15T04:58:13.756142+00:00,handshake,Front-End Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:15.341938+00:00,handshake,Back-End Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:16.976149+00:00,handshake,Full-Stack Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:18.635263+00:00,handshake,Mobile Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:20.275164+00:00,handshake,Systems Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:21.862830+00:00,handshake,Game Developer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:22.957139+00:00,handshake,Security Analyst,no-llm,NO_RESULTS,0,
2026-03-15T04:58:24.593689+00:00,handshake,Penetration Tester,no-llm,NO_RESULTS,0,
2026-03-15T04:58:26.227068+00:00,handshake,Security Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:27.918575+00:00,handshake,Cloud Security Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:29.511726+00:00,handshake,SOC Analyst,no-llm,NO_RESULTS,0,
2026-03-15T04:58:31.132997+00:00,handshake,Application Security,no-llm,NO_RESULTS,0,
2026-03-15T04:58:32.741364+00:00,handshake,GRC Analyst,no-llm,NO_RESULTS,0,
2026-03-15T04:58:34.389670+00:00,handshake,Machine Learning Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:35.949524+00:00,handshake,Data Scientist,no-llm,NO_RESULTS,0,
2026-03-15T04:58:37.732804+00:00,handshake,AI Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:39.269393+00:00,handshake,NLP Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:40.842721+00:00,handshake,Computer Vision Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:42.331795+00:00,handshake,Research Scientist,no-llm,NO_RESULTS,0,
2026-03-15T04:58:43.982358+00:00,handshake,BI Developer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:45.180353+00:00,handshake,Data Visualization Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:46.717351+00:00,handshake,Analytics Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:48.208437+00:00,handshake,Reporting Analyst,no-llm,NO_RESULTS,0,
2026-03-15T04:58:49.766462+00:00,handshake,Cloud Infrastructure Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:51.296021+00:00,handshake,Cloud Architect,no-llm,NO_RESULTS,0,
2026-03-15T04:58:52.729111+00:00,handshake,Site Reliability Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:54.300959+00:00,handshake,Platform Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:58:55.867716+00:00,handshake,Agile Project Manager,no-llm,NO_RESULTS,0,
2026-03-15T04:58:57.597047+00:00,handshake,Program Manager,no-llm,NO_RESULTS,0,
2026-03-15T04:58:59.376352+00:00,handshake,Technical Product Manager,no-llm,NO_RESULTS,0,
2026-03-15T04:59:00.991457+00:00,handshake,Scrum Master,no-llm,NO_RESULTS,0,
2026-03-15T04:59:02.621444+00:00,handshake,CI/CD Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:59:04.395562+00:00,handshake,Infrastructure as Code Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:59:06.174969+00:00,handshake,Release Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:59:07.950716+00:00,handshake,Automation Engineer,no-llm,NO_RESULTS,0,
2026-03-15T04:59:09.729938+00:00,handshake,Containerization Engineer,no-llm,NO_RESULTS,0,
